word,sentence1,sentence2,sentence3,sentence4,sentence5,option_result
fraternal,"The twins shared a strong fraternal bond that seemed to transcend words, their connection palpable to anyone in their presence","Their fraternal resemblance was uncanny, from the way they walked to the identical smiles they shared","Despite their occasional disagreements, their fraternal love and loyalty never wavered, a testament to the unbreakable bond they shared","The fraternal organization they belonged to was like a second family, providing support and camaraderie in times of need","Throughout history, fraternal societies have played important roles in communities, offering assistance and a sense of belonging to members.","['felicity', 'ambivalent', 'admonish', 'fraternal', 'incessant', 3]"
frenetic,The frenetic pace of the city streets was overwhelming as people rushed past each other in a blur of activity,"The frenetic energy of the crowded market was palpable, with vendors shouting and customers bargaining for the best prices","In the midst of the frenetic chaos, a street performer captivated the crowd with his mesmerizing music","Despite the frenetic atmosphere, a sense of excitement and anticipation filled the air as a parade approached","The frenetic tempo of the music matched the wild dance moves of the performers, creating a captivating spectacle for onlookers.","['frenetic', 'viable', 'husbandry', 'abysmal', 'belie', 0]"
frugal,"She was known for her frugal habits, always looking for ways to save money and cut costs","Despite her substantial income, she lived a frugal lifestyle, opting for budget-friendly options whenever possible","Her frugal mindset extended to all aspects of her life, from grocery shopping to travel planning","Even when dining out, she would choose restaurants known for their frugal menu options",Others admired her frugal nature and sought her advice on how to be more financially savvy.,"['eccentric', 'utopian', 'foment', 'abstinence', 'frugal', 4]"
eel,"She greeted her guests with a genteel smile, gracefully guiding them to their seats in the elegantly decorated dining room","The room exuded an air of genteel refinement, with soft classical music playing in the background and fresh flowers adorning the table",Her genteel manners and impeccable hosting skills made her a favorite hostess among her social circle,"The guests appreciated her warm, genteel demeanor, which created a welcoming and sophisticated atmosphere for the evening","Despite her genteel appearance, she possessed a sharp wit and a keen intellect that charmed and impressed her guests throughout the evening.","['usurp', 'unscrupulous', 'genteel', 'garrulous', 'abject', 2]"
glut,"There was a glut of fresh produce at the farmer's market, with colorful fruits and vegetables overflowing from the stalls","The recent heavy rainfall had led to a glut of water in the fields, causing flooding in some areas","Despite the glut of new books being published, the author's latest novel stood out with its unique plot and captivating characters","The market was experiencing a glut of new competitors, all vying for customer attention with aggressive marketing strategies","The glut of information available on the internet can be overwhelming, making it difficult to discern fact from fiction.","['unctuous', 'glut', 'verisimilitude', 'foible', 'malefactor', 1]"
grandiloquent,"Her grandiloquent speech captured the attention of everyone in the crowded auditorium, her words flowing with eloquence and passion","The politician's grandiloquent promises resonated with the audience, who applauded enthusiastically at the end of her address","Critics dismissed the CEO's grandiloquent claims as mere exaggerations, questioning the validity of his ambitious business plans","Despite his grandiloquent mannerisms, the professor's lectures were always engaging and informative, keeping his students captivated","The author's grandiloquent writing style may polarize readers, with some praising its lyrical beauty while others find it overly embellished.","['unconscionable', 'grandiloquent', 'abstemious', 'impeccable', 'adjunct', 1]"
grandiose,His grandiose plans to build an extravagant castle in the countryside captivated the attention of the entire town,"The grandiose ballroom featured stunning crystal chandeliers and luxurious velvet curtains, creating an opulent atmosphere","With a grandiose gesture, he extended an invitation to the prestigious gala event to all the distinguished guests","The grandiose display of fireworks lit up the night sky, dazzling everyone in attendance","Despite his grandiose ambitions, he remained humble and grateful for the opportunities that came his way.","['incisive', 'grandiose', 'belie', 'viable', 'bemuse', 1]"
gratuitous,"The film contained gratuitous violence that added nothing to the plot, leaving some viewers feeling uncomfortable","Some critics argued that the explicit scenes were included solely for shock value, making them unnecessary and gratuitous",The director's decision to include gratuitous nudity in the movie was heavily criticized for objectifying the actors,"Despite the gratuitous use of special effects, many audience members found the film lacking in substance","The gratuitous product placement throughout the movie distracted from the overall viewing experience, drawing attention away from the storyline.","['indigent', 'incisive', 'gratuitous', 'unscrupulous', 'urbane', 2]"
gregarious,"At social gatherings, my gregarious cousin always seems to be the life of the party, effortlessly making new friends and striking up conversations with strangers","His outgoing and sociable nature truly shines in large crowds, where he thrives on interacting with others and sharing his infectious energy","Despite being an introvert myself, I admire his ability to charm and connect with people from all walks of life, making everyone feel welcomed and included in his presence","Whether at a networking event or a casual get-together, his gregarious personality never fails to leave a lasting impression on those around him","It is no wonder that he is known as the most gregarious member of our family, always bringing joy and laughter wherever he goes.","['venal', 'idiosyncrasy', 'gregarious', 'banal', 'trite', 2]"
guile,"The sly fox used his guile to outwit the other animals in the forest, always coming out on top in their little games","Despite his charming facade, his guile was evident in the cunning gleam that occasionally flashed in his eyes","With his smooth words and clever schemes, he spun a web of guile around those who dared to underestimate him","His reputation for guile preceded him, causing even the most wary creatures to keep a safe distance","But beneath his mask of guile lay a lonely heart, yearning for true connection amidst all his deceptions.","['incessant', 'fidelity', 'trite', 'foible', 'guile', 4]"
hapless,"Despite his best efforts, the hapless detective could not seem to solve the perplexing case","Clumsy and hapless, the young magician struggled to perform even the simplest trick during the talent show","The hapless traveler found herself lost in the maze-like streets of the unfamiliar city, unable to find her way back to the hotel","Hapless in love, he always seemed to choose partners who were incompatible with his values and goals","The hapless rookie quarterback threw three interceptions in the first half of the game, much to the disappointment of his team's fans.","['veracious', 'hapless', 'hyperbole', 'unwitting', 'hackneyed', 1]"
harbinger,The dark clouds gathering on the horizon were a clear harbinger of the impending storm,The sudden drop in temperature served as a harbinger of the onset of winter,"The first signs of spring, such as blooming flowers and chirping birds, are considered a harbinger of warmer days ahead",The arrival of migratory birds is often seen as a harbinger of the changing seasons,The decreasing daylight hours in the fall act as a harbinger of the approaching winter months.,"['flagrant', 'hypothetical', 'foment', 'abysmal', 'harbinger', 4]"
hedonist,"The hedonist lived a life dedicated to maximizing pleasure and minimizing pain, constantly seeking out experiences that would bring them joy",Their hedonistic lifestyle often led to impulsive decisions and reckless behavior as they prioritized immediate gratification above all else,"Despite facing criticism for their self-indulgent ways, the hedonist remained unapologetic, believing that life's essence was to pursue pleasure at all costs","However, deep down, the hedonist struggled with feelings of emptiness and inner turmoil, realizing that true happiness was not solely found in the pursuit of hedonistic pleasures","In moments of solitude, the hedonist pondered whether there was more to life than their hedonistic pursuits and if lasting fulfillment could be achieved through other means.","['hedonist', 'flagrant', 'fetter', 'belie', 'heyday', 0]"
hegemony,"The concept of hegemony refers to the dominance or leadership of one group or country over others, often achieved through political, economic, or cultural means","In global politics, superpowers like the United States and China strive for hegemony in order to exert influence and control over international affairs","The European colonial powers of the past sought hegemony over their colonies, using military force and economic exploitation to maintain their control","Hegemony can be seen in various forms, such as cultural hegemony where a dominant culture shapes norms and values within society","Challenging hegemony is crucial for promoting diversity, equality, and the rights of marginalized groups in society.","['boon', 'glut', 'incantation', 'histrionic', 'hegemony', 4]"
heresy,The ancient text revealed a radical heresy that challenged the established beliefs of the community,Scholars debated the implications of such heretical ideas on the fabric of society,"Some viewed the heresy as a threat to tradition, while others saw it as an opportunity for intellectual growth","The heresy spread like wildfire, causing rifts among the followers and leaders alike","Amidst the chaos, a young scholar emerged to defend the heresy as a necessary evolution in thought.","['incongruous', 'gratuitous', 'inert', 'heresy', 'besiege', 3]"
harmit,"Sure, here is a paragraph with the word 'harmit' used in five sentences: The harmful words spoken during the argument had a lasting effect on their relationship, causing them both emotional harm","Despite their best efforts to reconcile, the lingering hurt continued to harmit their ability to communicate effectively",It was clear that the unresolved conflict was creating a harmit in their bond that needed to be addressed,"Over time, they realized that harboring resentment would only further harmit their connection, leading them to seek professional help to mend their issues","Through therapy and open communication, they were finally able to heal the harmit and rebuild a healthier, stronger relationship.","['accrue', 'fidelity', 'abdicate', 'harmit', 'vernacular', 3]"
heyday,"The historic theatre enjoyed its heyday in the 1920s, attracting crowds from far and wide","During its heyday, the city's bustling marketplace was filled with vendors selling a variety of goods",The artist's paintings from her heyday still fetch high prices at auctions today,The local sports team reminisces about their heyday when they were dominant champions,The fashion designer's heyday was marked by innovative designs that influenced the industry for years to come.,"['bereave', 'affinity', 'veritable', 'heyday', 'grandiloquent', 3]"
histrionic,"Her histrionic behavior at the office often distracts her colleagues, with dramatic outbursts and exaggerated gestures becoming a regular occurrence","Despite numerous warnings from her supervisor, she continues to engage in histrionic displays, craving attention and validation from those around her",The exaggerated emotions she portrays seem to mask deeper insecurities and a constant need for approval,"Colleagues have learned to tread carefully around her unpredictable histrionic episodes, unsure of how to respond to her theatrics without escalating the situation further","While her histrionic tendencies may make her stand out, it has created a challenging work environment for those trying to focus on their tasks amidst the drama.","['trite', 'harmit', 'histrionic', 'flagrant', 'foment', 2]"
