word,sentence1,sentence2,sentence3,sentence4,sentence5,option_result
allegiance,"She pledged her allegiance to the royal family, vowing to serve them with unwavering loyalty","Despite facing challenges and temptations, her allegiance remained steadfast, rooted in her deep sense of duty and honor","The oath of allegiance she took was a solemn commitment, binding her to uphold the values and principles of the kingdom","Throughout her life, she demonstrated her allegiance through her actions, always putting the interests of the realm above her own","In times of turmoil, her allegiance was a beacon of stability and strength, inspiring others to follow her example.","['deficit', 'ensue', 'cull,', 'allegiance', 'disinformation', 3]"
innuendo,"Sure, here is a paragraph with the word 'innuendo' used 5 times: The comedian's jokes were always laced with subtle innuendos, leaving the audience in stitches with his clever wit","Some members of the audience caught onto the innuendo right away, while others were left puzzled, trying to decipher the hidden meanings behind the comedian's words","Despite the risqué innuendos, the comedian maintained a playful and lighthearted delivery that kept the crowd engaged throughout the performance","The art of using innuendo is a delicate balance, requiring skilled delivery and a keen sense of timing to elicit the desired reactions from the audience","As the show came to an end, the audience applauded with laughter, appreciating the clever innuendo woven throughout the comedy act.","['fallacy', 'discourse', ',crescendo', 'arsenal,', 'innuendo', 4]"
"cabal,","A secretive cabal of wealthy elites controlled the political landscape, pulling strings from behind the scenes",Rumors circulated about a mysterious cabal of sorcerers gathering in the depths of the forest to perform dark rituals,The journalist stumbled upon evidence pointing to a covert cabal manipulating stock prices for personal gain,Whispers of a clandestine cabal within the company plotting to overthrow the CEO sent shockwaves through the office,"The cabal's influence extended far and wide, with members infiltrating every sector of society to further their agenda.","['medium', 'fallacy', 'innuendo', 'cabal,', 'disconcert,', 3]"
desist,"Despite numerous warnings from the officials, the protesters refused to desist from their disruptive behavior",The teacher instructed the students to desist from talking during the exam to avoid any suspicions of cheating,It is crucial for drivers to desist from using their phones while operating a vehicle to prevent accidents,The company's lawyer sent a formal letter demanding that the competitor desist from using their copyrighted material,The doctor advised the patient to desist from consuming sugary foods in order to improve their health.,"['halcyon', 'diatribe', 'desist', 'excise', 'ordinance', 2]"
antiquity,"I have always been fascinated by the artifacts and ruins of antiquity, which hold clues to ancient civilizations",The study of antiquity allows us to better understand the customs and beliefs of our predecessors,Exploring the art and architecture of antiquity can provide insight into the creativity and ingenuity of early societies,"Many museums around the world house priceless treasures from antiquity, offering visitors a glimpse into the past",The preservation of antiquity is essential for future generations to appreciate and learn from the achievements of those who came before us.,"['abrogate', 'excise', 'dissuade', 'boon,', 'antiquity', 4]"
excise,The government imposes an excise tax on certain goods like alcohol and tobacco,Businesses need to factor in these excise costs when setting prices for their products,"The excise duty on imported cars has increased, leading to higher prices for consumers",Companies often try to minimize the impact of excise taxes on their bottom line,The excise revenue collected by the government helps to fund public services and infrastructure projects.,"['halcyon', 'ecclesiastical', 'excise', 'deficit', 'objective', 2]"
canon,The literary canon is a collection of works considered to be the most important and influential in a particular field,"In music, a canon refers to a piece where a melody is imitated and repeated by different voices or instruments",Canon law is a system of laws and regulations developed within the Christian church,Canon cameras are known for their high-quality lenses and advanced technology,The concept of canon is subjective and constantly evolving as new perspectives and voices are recognized.,"['regime', 'byzantine', 'canon', 'spectrum', 'perpetrator', 2]"
"lyrical,","The poet's lyrical verses painted vivid images in the minds of the readers, capturing the essence of raw emotion","She danced gracefully to the lyrical melody, expressing her deepest feelings through movement","The singer's voice was incredibly lyrical, effortlessly enchanting the audience with each note",The beauty of the lyrical prose transported the listeners to a world of fantasy and wonder,"Through his lyrical storytelling, the writer wove a captivating tale that lingered in the hearts of all who read it.","['rout', 'harry', 'menagerie', 'pandemic', 'lyrical,', 4]"
parallel,"The two roads run parallel to each other, stretching out into the distance",The timeline of events in the book seems to run parallel to real historical events,There is a parallel between the protagonist's struggles and my own personal journey,The two rivers flow parallel for miles before merging into one,The teacher drew a parallel between the protagonist's actions and a famous historical figure.,"['embargo', 'congeal', 'sedentary', 'parallel', 'underscore', 3]"
dissident,"Amidst the political turmoil, the dissident voices grew louder, demanding change and reform within the government",The dissident group organized protests and rallies to raise awareness about the injustices faced by marginalized communities,"Despite facing threats and intimidation, the dissident leader remained steadfast in advocating for human rights and freedom of speech","The dissident movement gained momentum, attracting support from both local and international allies","Ultimately, the dissident's persistence and resilience sparked a movement that would bring about significant social and political change.","['composed', 'dissident', 'allegiance', 'disproportionate', 'perpetuate', 1]"
jaunt,"On a sunny afternoon, Sarah decided to take a leisurely jaunt through the picturesque countryside, reveling in the beauty of nature surrounding her","The jaunt provided her with a much-needed break from the hustle and bustle of city life, allowing her to breathe in the fresh air and clear her mind","As she meandered along the winding path, the sounds of birds chirping and leaves rustling accompanied her on her jaunt, creating a serene atmosphere","Sarah found herself lost in the moment during her jaunt, feeling a sense of tranquility and contentment wash over her","The jaunt ended all too soon, but Sarah returned home feeling rejuvenated and grateful for the peaceful escape it had provided her.","['regime', 'allegiance', 'anthropomorphic', 'opprobrious', 'jaunt', 4]"
discourse,"Discourse plays a crucial role in shaping societal narratives and perceptions, guiding conversations towards meaningful exchanges of ideas and opinions","Engaging in constructive discourse requires open-mindedness, active listening, and a willingness to consider different perspectives","By fostering a culture of respectful discourse, individuals can build bridges of understanding and promote empathy within diverse communities","It is important to recognize the power of discourse in influencing beliefs, behaviors, and the overall fabric of society","Ultimately, promoting healthy discourse can lead to greater collaboration, progress, and harmony in both personal and professional interactions.","['discourse', 'apt', 'amass', 'estimable', 'dichotomy', 0]"
partition,"The room was divided by a partition, creating two separate spaces for work and relaxation",The wooden partition had intricate carvings that added a touch of elegance to the room,We decided to add a partition to provide some privacy for the guests staying in the open concept room,"The partition served as a makeshift divider, giving each person their own private area to unwind","As the sunlight streamed through the partition, it cast a beautiful pattern on the floor.","['assert,', 'clandestine', 'parallel', 'partition', 'innuendo', 3]"
