word,sentence1,sentence2,sentence3,sentence4,sentence5,option_result
propitious,"The propitious weather conditions on the day of the picnic made it a truly enjoyable event, with clear blue skies and a gentle breeze","As luck would have it, we found a propitious spot underneath a large oak tree that provided ample shade throughout the day","The propitious timing of our arrival meant that we avoided the heavy traffic on the way to the park, allowing us to set up our picnic without any delays","With such a propitious start to the day, it was no surprise that everything seemed to fall perfectly into place, creating a sense of harmony and joy among all the participants","Reflecting on the propitious turn of events, we couldn't help but feel grateful for the wonderful day we had experienced together.","['propitious', 'vex', 'admonish', 'salient', 'abhor,', 0]"
grandiose,"The grandiose mansion stood proudly at the top of the hill, commanding attention with its towering columns and intricate detailing","Its grandiose ballroom was adorned with sparkling chandeliers and luxurious drapes, creating an ambiance of opulence and sophistication","The grandiose garden sprawled out in front of the estate, showcasing vibrant flowers and pristine pathways","Every corner of the grandiose property exuded an air of elegance and extravagance, reflecting the wealth and status of its owners","Visitors were often in awe of the grandiose beauty that enveloped the entire estate, leaving a lasting impression on all who beheld its magnificence.","['congenial', 'grandiose', 'noxious', 'hedonism', 'caricature', 1]"
uniform,The students wore their crisp navy blue uniforms proudly as they lined up for morning assembly,"The military personnel stood in perfect formation, all dressed in their formal uniforms",The store clerk measured the customer for a custom-tailored uniform for their upcoming job at the airline company,The debate over whether school uniforms should be mandatory sparked heated discussions among parents and educators,The marching band members practiced tirelessly to ensure they were all in perfect uniformity during the big parade.,"['stymie', 'vitiate', 'assiduous', 'rogue', 'uniform', 4]"
assiduous,"She was known for her assiduous attention to detail, always ensuring that every task was completed with precision and care","Her assiduous work ethic set her apart from her colleagues, as she consistently put in extra hours to meet deadlines and exceed expectations","Despite facing obstacles, she remained assiduous in her pursuit of excellence, never wavering in her dedication to her craft","Her assiduous efforts were recognized and rewarded, earning her a reputation as a reliable and diligent worker","With her assiduous approach to her work, she was able to achieve remarkable success and earn the respect of those around her.","['assiduous', 'consummate', 'demagogue,', 'platitude', 'bourgeois', 0]"
vex,"She found herself increasingly vexed by the persistent noise of construction outside her window, disrupting her peaceful morning routine","Despite her best efforts to remain calm, the constant hammering and drilling continued to vex her nerves","The situation only worsened as the noise grew louder, intensifying her frustration with each passing minute","Feeling trapped in her own home by the unrelenting racket, she struggled to find solace amidst the chaos","Eventually, she decided to escape the vexatious clamor by retreating to a nearby café for some much-needed peace and quiet.","['convivial,', 'flout', 'lampoon,', 'caricature', 'vex', 4]"
"sublime,","The sublime beauty of the sunset painted the sky in hues of pink and orange, casting a peaceful glow over the horizon","Standing on top of the mountain, surrounded by clouds, I felt a sense of sublime awe at the vastness of the landscape below","The musician's performance was nothing short of sublime, moving the audience to tears with his soulful melodies","As I gazed at the magnificent waterfall cascading down the rocks, I was struck by its sublime power and grace","In that moment of complete stillness and solitude, I found a deep sense of peace in the sublime tranquility of nature.","['gregarious', 'salient', 'catharsis', 'sublime,', 'sublime,', 3]"
narcissism,Narcissism is a personality trait characterized by an excessive interest in oneself and one's physical appearance,People with high levels of narcissism often have an inflated sense of their own importance and a deep need for admiration from others,"Narcissism can manifest in behaviors such as self-centeredness, a lack of empathy, and a tendency to manipulate others for personal gain","Those who struggle with narcissism may also experience difficulty forming genuine, meaningful connections with others due to their focus on themselves",It's important to understand the complexities of narcissism and seek support if it is impacting one's relationships and well-being.,"['tentative', 'abridge', 'narcissism', 'noxious', 'latent', 2]"
congenial,The congenial atmosphere at the office made everyone feel comfortable and welcome each day,"Colleagues enjoyed working together in such a congenial environment, which fostered collaboration and creativity",The team's congenial interactions helped them achieve their goals efficiently and effectively,The manager's congenial demeanor and approachable nature contributed to a positive work culture,"Overall, the congenial relationships among coworkers created a supportive and enjoyable work environment.","['inaugurate', 'demagogue,', 'congenial', 'grandiose', 'catharsis', 2]"
machination,"The intricate machination of the antagonist's plan unfolded slowly, revealing layers of deceit and manipulation","Each move was carefully calculated, a web of machination designed to trap the unsuspecting heroes",The villain's machination was so elaborate that it seemed almost impossible to unravel,"Despite the complexity of the machination, the heroes were determined to thwart it at all costs","In the end, the mastermind behind the machination was brought to justice, and peace was restored to the realm.","['milieu', 'morose', 'servile', 'machination', 'rogue', 3]"
emigrate,Many people emigrate to other countries in search of better opportunities and quality of life,Some individuals choose to emigrate due to political unrest or persecution in their home country,Emigrating can be a difficult decision as it often involves leaving behind family and friends,Learning a new language and adapting to a different culture are common challenges faced by those who emigrate,"Despite the challenges, emigrating can also lead to personal growth and new experiences.","['auspicious,', 'fauna', 'emigrate', 'frenetic,', 'mercenary', 2]"
peripatetic,"She led a peripatetic lifestyle, constantly traveling from city to city in search of new experiences",Her peripatetic nature made it difficult for her to put down roots and establish long-lasting relationships,"Despite the challenges of a peripatetic existence, she thrived on the excitement of exploring different cultures","The peripatetic artist drew inspiration from her travels, incorporating elements from each destination into her work",Her peripatetic adventures enriched her life in ways she never could have imagined.,"['peripatetic', 'exacting', 'stymie', 'confluence', 'facetious', 0]"
glut,"Amidst the pandemic, there was a glut of new regulations that impacted businesses across various industries","The market experienced a glut of products due to oversupply, leading to fierce competition among manufacturers",Consumers were delighted to find a glut of discounts and promotions during the holiday season,"However, the glut of information available online made it challenging for individuals to discern between facts and misinformation","Despite the glut of challenges faced in 2020, many organizations found innovative ways to adapt and thrive in the midst of uncertainty.","['glut', 'convivial,', 'comprise,', 'degenerate', 'abhor,', 0]"
itinerant,"An itinerant musician travels from city to city, performing in different venues each night",The itinerant preacher spread his message of love and compassion across the countryside,"An itinerant worker moves from one job to another, never staying in one place for long",The itinerant artist captures the beauty of different landscapes in their paintings,"Despite the challenges of an itinerant lifestyle, many people find freedom and inspiration in constantly being on the move.","['vex', 'ingenuous', 'avuncular,', 'itinerant', 'salient', 3]"
antithesis,"The concept of love can be considered the antithesis of hate, showcasing a stark contrast in emotions","In literature, the character of the villain often serves as the antithesis to the hero, adding depth to the storyline",The antithesis of success is not failure but rather staying stagnant without making any progress,"Philosophically, the antithesis of truth is not necessarily falsehood but could be seen as ignorance","In debates, presenting a strong antithesis to one's own argument can help strengthen the overall perspective and foster critical thinking.","['convivial,', 'antithesis', 'conciliatory', 'onerous', 'prepossess', 1]"
transient,"The beauty of life lies in its transient nature, constantly shifting and evolving",Every moment is a fleeting glimpse into the vast spectrum of emotions and experiences,"We are all mere passengers on this transient journey, never truly anchored to one place or time",Embracing the transient nature of life allows us to appreciate the present moment with gratitude and mindfulness,"Let us cherish the transient connections we make, knowing that they may be fleeting but hold immense value in our hearts.","['servile', 'transient', 'itinerant', 'avuncular,', 'morose', 1]"
integral,Understanding the integral role that communication plays in building strong relationships is crucial in both personal and professional settings,Effective communication is integral to successful collaboration among team members in achieving common goals,It is integral for leaders to possess strong communication skills to inspire and motivate their followers,Developing emotional intelligence is an integral aspect of improving interpersonal communication,"In a fast-paced world, adaptability is integral for individuals to thrive and succeed in various environments.","['integral', 'salient', 'stymie', 'tentative', 'prepossess', 0]"
